"Data","Último","Abertura","Máxima","Mínima","Var%"
"02.01.2018","98,5900","98,5900","98,5900","98,5900","-0,11%"
"03.01.2018","98,5900","98,5900","98,5900","98,5900","0,00%"
"04.01.2018","98,5900","98,5900","98,5900","98,5900","0,00%"
"05.01.2018","98,5900","98,5900","98,5900","98,5800","0,00%"
"08.01.2018","98,5900","98,5900","98,5900","98,5800","0,00%"
"09.01.2018","98,5900","98,5900","98,5900","98,5800","0,00%"
"10.01.2018","98,5900","98,5800","98,5900","98,5800","0,00%"
"11.01.2018","98,5900","98,5900","98,5900","98,5800","0,00%"
"12.01.2018","98,5900","98,5800","98,5900","98,5800","0,00%"
"16.01.2018","98,5900","98,5800","98,5900","98,5800","0,00%"
"17.01.2018","98,5900","98,5900","98,5900","98,5800","0,00%"
"18.01.2018","98,5900","98,5800","98,5900","98,5800","0,00%"
"19.01.2018","98,5900","98,5800","98,5900","98,5800","0,00%"
"22.01.2018","98,5900","98,5800","98,5900","98,5800","0,00%"
"23.01.2018","98,5900","98,5800","98,5900","98,5800","0,00%"
"24.01.2018","98,5900","98,5800","98,5900","98,5800","0,00%"
"25.01.2018","98,5900","98,5800","98,5900","98,5800","0,00%"
"26.01.2018","98,5900","98,5900","98,5900","98,5800","0,00%"
"29.01.2018","98,5900","98,5800","98,5900","98,5800","0,00%"
"30.01.2018","98,5900","98,5800","98,5900","98,5800","0,00%"
"31.01.2018","98,5900","98,5800","98,5900","98,5800","0,00%"
"01.02.2018","98,5800","98,5800","98,5800","98,5800","-0,01%"
"02.02.2018","98,5800","98,5800","98,5800","98,5800","0,00%"
"05.02.2018","98,5800","98,5800","98,5800","98,5800","0,00%"
"06.02.2018","98,5800","98,5800","98,5800","98,5800","0,00%"
"07.02.2018","98,5800","98,5800","98,5800","98,5800","0,00%"
"08.02.2018","98,5800","98,5800","98,5800","98,5800","0,00%"
"09.02.2018","98,5800","98,5800","98,5800","98,5800","0,00%"
"12.02.2018","98,5800","98,5800","98,5800","98,5800","0,00%"
"13.02.2018","98,5800","98,5800","98,5800","98,5800","0,00%"
"14.02.2018","98,5800","98,5800","98,5800","98,5800","0,00%"
"15.02.2018","98,5800","98,5800","98,5800","98,5800","0,00%"
"16.02.2018","98,5800","98,5800","98,5800","98,5800","0,00%"
"20.02.2018","98,5800","98,5800","98,5800","98,5800","0,00%"
"21.02.2018","98,5800","98,5800","98,5800","98,5800","0,00%"
"22.02.2018","98,5800","98,5800","98,5800","98,5800","0,00%"
"23.02.2018","98,5800","98,5800","98,5800","98,5800","0,00%"
"26.02.2018","98,5800","98,5800","98,5800","98,5800","0,00%"
"27.02.2018","98,5800","98,5800","98,5800","98,5800","0,00%"
"28.02.2018","98,5800","98,5800","98,5800","98,5800","0,00%"
"01.03.2018","98,5100","98,5100","98,5100","98,5000","-0,07%"
"02.03.2018","98,5100","98,5100","98,5100","98,5000","0,00%"
"05.03.2018","98,5000","98,5100","98,5100","98,5000","-0,01%"
"06.03.2018","98,5000","98,5000","98,5000","98,5000","0,00%"
"07.03.2018","98,5000","98,5000","98,5100","98,5000","0,00%"
"08.03.2018","98,5000","98,5000","98,5000","98,5000","0,00%"
"09.03.2018","98,5000","98,5000","98,5000","98,5000","0,00%"
"12.03.2018","98,5000","98,5000","98,5100","98,5000","0,00%"
"13.03.2018","98,5000","98,5000","98,5000","98,5000","0,00%"
"14.03.2018","98,5000","98,5000","98,5000","98,5000","0,00%"
"15.03.2018","98,5000","98,5000","98,5000","98,5000","0,00%"
"16.03.2018","98,5000","98,5000","98,5000","98,5000","0,00%"
"19.03.2018","98,5000","98,5000","98,5000","98,5000","0,00%"
"20.03.2018","98,5000","98,5000","98,5000","98,5000","0,00%"
"21.03.2018","98,5000","98,5000","98,5000","98,5000","0,00%"
"22.03.2018","98,5000","98,5000","98,5000","98,5000","0,00%"
"23.03.2018","98,5000","98,5000","98,5000","98,5000","0,00%"
"26.03.2018","98,5000","98,5000","98,5000","98,5000","0,00%"
"27.03.2018","98,5000","98,5000","98,5000","98,5000","0,00%"
"28.03.2018","98,5000","98,5000","98,5000","98,5000","0,00%"
"29.03.2018","98,5000","98,5000","98,5000","98,5000","0,00%"
"02.04.2018","98,3300","98,3200","98,3300","98,3200","-0,17%"
"03.04.2018","98,3200","98,3300","98,3300","98,3200","-0,01%"
"04.04.2018","98,3200","98,3200","98,3200","98,3100","0,00%"
"05.04.2018","98,3200","98,3200","98,3200","98,3100","0,00%"
"06.04.2018","98,3200","98,3100","98,3200","98,3100","0,00%"
"09.04.2018","98,3200","98,3100","98,3200","98,3100","0,00%"
"10.04.2018","98,3100","98,3200","98,3200","98,3100","-0,01%"
"11.04.2018","98,3100","98,3100","98,3200","98,3100","0,00%"
"12.04.2018","98,3100","98,3100","98,3100","98,3100","0,00%"
"13.04.2018","98,3100","98,3100","98,3100","98,3100","0,00%"
"16.04.2018","98,3100","98,3100","98,3100","98,3100","0,00%"
"17.04.2018","98,3100","98,3100","98,3100","98,3100","0,00%"
"18.04.2018","98,3100","98,3100","98,3100","98,3100","0,00%"
"19.04.2018","98,3100","98,3100","98,3100","98,3100","0,00%"
"20.04.2018","98,3100","98,3100","98,3100","98,3100","0,00%"
"23.04.2018","98,3100","98,3100","98,3100","98,3100","0,00%"
"24.04.2018","98,3100","98,3100","98,3100","98,3100","0,00%"
"25.04.2018","98,3100","98,3100","98,3100","98,3100","0,00%"
"26.04.2018","98,3100","98,3100","98,3100","98,3100","0,00%"
"27.04.2018","98,3100","98,3100","98,3100","98,3100","0,00%"
"30.04.2018","98,3100","98,3100","98,3100","98,3100","0,00%"
"01.05.2018","98,3000","98,2900","98,3000","98,2900","-0,01%"
"02.05.2018","98,3000","98,3000","98,3000","98,2900","0,00%"
"03.05.2018","98,3000","98,3000","98,3000","98,3000","0,00%"
"04.05.2018","98,3000","98,3000","98,3000","98,3000","0,00%"
"07.05.2018","98,3000","98,3000","98,3000","98,3000","0,00%"
"08.05.2018","98,3000","98,3000","98,3000","98,3000","0,00%"
"09.05.2018","98,3000","98,3000","98,3000","98,3000","0,00%"
"10.05.2018","98,3000","98,3000","98,3000","98,3000","0,00%"
"11.05.2018","98,3000","98,3000","98,3000","98,3000","0,00%"
"14.05.2018","98,3000","98,3000","98,3000","98,3000","0,00%"
"15.05.2018","98,3000","98,3000","98,3000","98,3000","0,00%"
"16.05.2018","98,3000","98,3000","98,3000","98,3000","0,00%"
"17.05.2018","98,3000","98,3000","98,3000","98,3000","0,00%"
"18.05.2018","98,3000","98,3000","98,3000","98,3000","0,00%"
"21.05.2018","98,3000","98,3000","98,3000","98,3000","0,00%"
"22.05.2018","98,3000","98,3000","98,3000","98,3000","0,00%"
"23.05.2018","98,3000","98,3000","98,3000","98,3000","0,00%"
"24.05.2018","98,3000","98,3000","98,3000","98,3000","0,00%"
"25.05.2018","98,3000","98,3000","98,3000","98,3000","0,00%"
"29.05.2018","98,3000","98,3000","98,3000","98,3000","0,00%"
"30.05.2018","98,3000","98,3000","98,3000","98,3000","0,00%"
"31.05.2018","98,3000","98,3000","98,3000","98,3000","0,00%"
"01.06.2018","98,1800","98,1900","98,1900","98,1800","-0,12%"
"04.06.2018","98,1700","98,1800","98,1800","98,1700","-0,01%"
"05.06.2018","98,1700","98,1800","98,1800","98,1700","0,00%"
"06.06.2018","98,1800","98,1800","98,1800","98,1700","0,01%"
"07.06.2018","98,1800","98,1700","98,1800","98,1700","0,00%"
"08.06.2018","98,1800","98,1800","98,1800","98,1800","0,00%"
"11.06.2018","98,1800","98,1800","98,1800","98,1700","0,00%"
"12.06.2018","98,1800","98,1800","98,1800","98,1700","0,00%"
"13.06.2018","98,1800","98,1800","98,1800","98,1700","0,00%"
"14.06.2018","98,1800","98,1800","98,1800","98,1800","0,00%"
"15.06.2018","98,1800","98,1800","98,1900","98,1800","0,00%"
"18.06.2018","98,1800","98,1800","98,1900","98,1800","0,00%"
"19.06.2018","98,1800","98,1900","98,1900","98,1800","0,00%"
"20.06.2018","98,1800","98,1900","98,1900","98,1800","0,00%"
